"Date","Price","Open","High","Low","Vol.","Change"
"Dec 31, 2011","4.7","4.3","5.0","4.2","129.73K","11.06"
"Dec 30, 2011","4.3","4.2","4.3","4.1","41.07K","1.92"
"Dec 29, 2011","4.2","4.2","4.3","4.1","53.07K","0.00"
"Dec 28, 2011","4.2","4.1","4.3","4.0","33.84K","2.95"
"Dec 27, 2011","4.1","4.0","4.1","4.0","30.16K","1.24"
"Dec 26, 2011","4.0","4.2","4.3","3.8","88.83K","-4.74"
"Dec 25, 2011","4.2","3.9","4.4","3.8","80.80K","7.11"
"Dec 24, 2011","3.9","4.0","4.0","3.9","14.93K","0.00"
"Dec 23, 2011","4.0","3.9","4.0","3.8","20.50K","1.54"
"Dec 22, 2011","3.9","3.9","4.0","3.5","57.21K","0.00"
"Dec 21, 2011","3.9","4.0","4.0","3.8","48.79K","-1.52"
"Dec 20, 2011","4.0","3.5","4.5","3.5","186.41K","12.22"
"Dec 19, 2011","3.5","3.2","3.7","3.2","139.99K","10.34"
"Dec 18, 2011","3.2","3.2","3.2","3.2","10.79K","0.00"
"Dec 17, 2011","3.2","3.2","3.2","3.2","16.48K","0.00"
"Dec 16, 2011","3.2","3.2","3.2","3.2","29.87K","0.00"
"Dec 15, 2011","3.2","3.2","3.2","3.1","30.09K","0.00"
"Dec 14, 2011","3.2","3.3","3.3","3.0","72.48K","-3.08"
"Dec 13, 2011","3.3","3.1","3.3","3.1","32.66K","3.50"
"Dec 12, 2011","3.1","3.3","3.3","3.1","39.90K","-3.38"
"Dec 11, 2011","3.3","3.0","3.4","3.0","108.22K","6.56"
"Dec 10, 2011","3.0","3.0","3.1","2.9","74.31K","2.69"
"Dec 09, 2011","3.0","3.0","3.0","2.9","34.39K","0.00"
"Dec 08, 2011","3.0","3.0","3.0","2.9","39.93K","0.00"
"Dec 07, 2011","3.0","3.0","3.1","2.9","58.12K","0.00"
"Dec 06, 2011","3.0","2.9","3.0","2.9","55.60K","5.21"
"Dec 05, 2011","2.9","2.8","2.9","2.8","30.89K","1.77"
"Dec 04, 2011","2.8","2.8","2.9","2.6","95.22K","0.00"
"Dec 03, 2011","2.8","3.1","3.1","2.8","123.02K","-10.58"
"Dec 02, 2011","3.1","3.1","3.1","3.0","57.50K","1.96"
"Dec 01, 2011","3.1","3.0","3.1","2.9","63.86K","3.03"
"Nov 30, 2011","3.0","2.8","3.1","2.7","120.15K","8.00"
"Nov 29, 2011","2.8","2.5","3.0","2.5","180.53K","7.84"
"Nov 28, 2011","2.5","2.5","2.5","2.4","41.26K","2.82"
"Nov 27, 2011","2.5","2.5","2.5","2.4","22.73K","0.00"
"Nov 26, 2011","2.5","2.5","2.5","2.4","36.12K","0.00"
"Nov 25, 2011","2.5","2.4","2.5","2.4","44.41K","3.29"
"Nov 24, 2011","2.4","2.3","2.6","2.3","87.27K","4.29"
"Nov 23, 2011","2.3","2.3","2.4","2.3","40.00K","0.00"
"Nov 22, 2011","2.3","2.3","2.3","2.3","34.21K","0.00"
"Nov 21, 2011","2.3","2.2","2.3","2.2","41.73K","4.09"
