"Date","Price","Open","High","Low","Vol.","Change"
"Dec 31, 2010","0.3","0.3","0.3","0.3","1.45K","0.00"
"Dec 30, 2010","0.3","0.3","0.3","0.3","2.54K","0.00"
"Dec 29, 2010","0.3","0.3","0.3","0.3","18.61K","0.00"
"Dec 28, 2010","0.3","0.3","0.3","0.3","15.44K","0.00"
"Dec 27, 2010","0.3","0.3","0.3","0.3","4.94K","0.00"
"Dec 26, 2010","0.3","0.2","0.3","0.2","16.59K","0.00"
"Dec 25, 2010","0.2","0.2","0.3","0.2","0.70K","0.00"
"Dec 24, 2010","0.2","0.3","0.3","0.2","5.03K","0.00"
"Dec 23, 2010","0.3","0.3","0.3","0.2","8.65K","0.00"
"Dec 22, 2010","0.3","0.2","0.3","0.2","3.80K","0.00"
"Dec 21, 2010","0.2","0.3","0.3","0.2","9.23K","0.00"
"Dec 20, 2010","0.3","0.2","0.3","0.2","10.68K","0.00"
"Dec 19, 2010","0.2","0.2","0.2","0.2","2.00K","0.00"
"Dec 18, 2010","0.2","0.2","0.2","0.2","0.17K","0.00"
"Dec 17, 2010","0.2","0.3","0.2","0.2","0.53K","0.00"
"Dec 16, 2010","0.3","0.2","0.3","0.2","14.36K","0.00"
"Dec 15, 2010","0.2","0.2","0.2","0.2","3.69K","0.00"
"Dec 14, 2010","0.2","0.2","0.2","0.2","10.39K","0.00"
"Dec 13, 2010","0.2","0.2","0.2","0.2","6.42K","0.00"
"Dec 12, 2010","0.2","0.2","0.2","0.2","1.96K","0.00"
"Dec 11, 2010","0.2","0.2","0.2","0.2","5.79K","0.00"
"Dec 10, 2010","0.2","0.2","0.2","0.2","1.68K","0.00"
"Dec 09, 2010","0.2","0.2","0.2","0.2","21.34K","0.00"
"Dec 08, 2010","0.2","0.2","0.2","0.2","3.43K","0.00"
"Dec 07, 2010","0.2","0.2","0.2","0.2","24.59K","0.00"
"Dec 06, 2010","0.2","0.2","0.2","0.2","4.32K","0.00"
"Dec 05, 2010","0.2","0.2","0.2","0.2","5.74K","0.00"
"Dec 04, 2010","0.2","0.3","0.3","0.2","28.56K","0.00"
"Dec 03, 2010","0.3","0.3","0.3","0.2","2.57K","0.00"
"Dec 02, 2010","0.3","0.2","0.3","0.2","20.31K","0.00"
"Dec 01, 2010","0.2","0.2","0.2","0.2","8.16K","0.00"
"Nov 30, 2010","0.2","0.2","0.2","0.2","21.48K","0.00"
"Nov 29, 2010","0.2","0.3","0.3","0.2","35.06K","0.00"
"Nov 28, 2010","0.3","0.3","0.3","0.3","20.80K","0.00"
"Nov 27, 2010","0.3","0.3","0.3","0.3","1.83K","0.00"
"Nov 26, 2010","0.3","0.3","0.3","0.3","33.53K","0.00"
"Nov 25, 2010","0.3","0.3","0.3","0.3","1.68K","0.00"
"Nov 24, 2010","0.3","0.3","0.3","0.3","2.52K","0.00"
"Nov 23, 2010","0.3","0.3","0.3","0.3","4.86K","0.00"
"Nov 22, 2010","0.3","0.3","0.3","0.3","28.21K","0.00"
"Nov 21, 2010","0.3","0.3","0.3","0.3","0.77K","0.00"
"Nov 20, 2010","0.3","0.3","0.3","0.3","14.65K","0.00"
"Nov 19, 2010","0.3","0.3","0.3","0.3","2.16K","0.00"
"Nov 18, 2010","0.3","0.2","0.3","0.2","37.45K","0.00"
"Nov 17, 2010","0.2","0.2","0.3","0.2","32.87K","0.00"
"Nov 16, 2010","0.2","0.3","0.3","0.2","33.93K","0.00"
"Nov 15, 2010","0.3","0.3","0.3","0.3","8.51K","0.00"
"Nov 14, 2010","0.3","0.3","0.3","0.3","16.84K","0.00"
"Nov 13, 2010","0.3","0.3","0.3","0.3","21.92K","0.00"
"Nov 12, 2010","0.3","0.2","0.3","0.2","40.72K","0.00"
"Nov 11, 2010","0.2","0.2","0.2","0.2","5.03K","0.00"
"Nov 10, 2010","0.2","0.2","0.2","0.1","30.39K","0.00"
"Nov 09, 2010","0.2","0.2","0.3","0.2","47.98K","0.00"
"Nov 08, 2010","0.2","0.3","0.4","0.2","118.20K","-28.53"
"Nov 07, 2010","0.3","0.4","0.5","0.3","77.22K","0.00"
"Nov 06, 2010","0.4","0.3","0.5","0.2","32.76K","50.00"
"Nov 05, 2010","0.3","0.2","0.3","0.2","36.62K","0.00"
"Nov 04, 2010","0.2","0.2","0.2","0.2","29.70K","0.00"
"Nov 03, 2010","0.2","0.2","0.3","0.1","61.47K","0.00"
"Nov 02, 2010","0.2","0.2","0.2","0.2","5.85K","0.00"
"Nov 01, 2010","0.2","0.2","0.2","0.2","21.26K","0.00"
"Oct 31, 2010","0.2","0.2","0.2","0.2","40.34K","0.00"
"Oct 30, 2010","0.2","0.2","0.2","0.2","26.71K","0.00"
"Oct 29, 2010","0.2","0.2","0.2","0.2","28.69K","0.00"
"Oct 28, 2010","0.2","0.2","0.2","0.2","21.53K","0.00"
"Oct 27, 2010","0.2","0.2","0.2","0.2","65.61K","0.00"
"Oct 26, 2010","0.2","0.1","0.2","0.1","19.22K","0.00"
"Oct 25, 2010","0.1","0.1","0.2","0.1","30.30K","0.00"
"Oct 24, 2010","0.1","0.1","0.2","0.1","13.80K","0.00"
"Oct 23, 2010","0.1","0.1","0.1","0.1","4.42K","0.00"
"Oct 22, 2010","0.1","0.1","0.1","0.1","34.60K","0.00"
"Oct 21, 2010","0.1","0.1","0.1","0.1","44.87K","0.00"
"Oct 20, 2010","0.1","0.1","0.1","0.1","31.86K","0.00"
"Oct 19, 2010","0.1","0.1","0.1","0.1","6.24K","0.00"
"Oct 18, 2010","0.1","0.1","0.1","0.1","25.67K","0.00"
"Oct 17, 2010","0.1","0.1","0.1","0.1","18.22K","0.00"
"Oct 16, 2010","0.1","0.1","0.1","0.1","6.29K","0.00"
"Oct 15, 2010","0.1","0.1","0.1","0.1","24.64K","0.00"
"Oct 14, 2010","0.1","0.1","0.1","0.1","37.22K","0.00"
"Oct 13, 2010","0.1","0.1","0.1","0.1","47.56K","0.00"
"Oct 12, 2010","0.1","0.1","0.1","0.1","25.66K","0.00"
"Oct 11, 2010","0.1","0.1","0.1","0.1","14.09K","0.00"
"Oct 10, 2010","0.1","0.1","0.1","0.1","50.68K","0.00"
"Oct 09, 2010","0.1","0.1","0.1","0.1","187.85K","0.00"
"Oct 08, 2010","0.1","0.1","0.1","0.0","139.29K","0.00"
"Oct 07, 2010","0.1","0.1","0.1","0.1","43.69K","0.00"
"Oct 06, 2010","0.1","0.1","0.1","0.1","33.43K","0.00"
"Oct 05, 2010","0.1","0.1","0.1","0.1","27.53K","0.00"
"Oct 04, 2010","0.1","0.1","0.1","0.1","34.00K","0.00"
"Oct 03, 2010","0.1","0.1","0.1","0.1","7.17K","0.00"
"Oct 02, 2010","0.1","0.1","0.1","0.1","13.06K","0.00"
"Oct 01, 2010","0.1","0.1","0.1","0.1","1.72K","0.00"
"Sep 30, 2010","0.1","0.1","0.1","0.1","7.92K","0.00"
"Sep 29, 2010","0.1","0.1","0.1","0.1","23.48K","0.00"
"Sep 28, 2010","0.1","0.1","0.1","0.1","7.09K","0.00"
"Sep 27, 2010","0.1","0.1","0.1","0.1","10.75K","0.00"
"Sep 26, 2010","0.1","0.1","0.1","0.1","12.06K","0.00"
