"Date","Price","Open","High","Low","Vol.","Change"
"Dec 31, 2019","7,196.4","7,261.5","7,331.0","7,167.4","586.60K","-0.90"
"Dec 30, 2019","7,261.8","7,397.5","7,420.9","7,244.1","606.11K","-1.84"
"Dec 29, 2019","7,397.5","7,321.6","7,518.9","7,303.0","611.69K","1.04"
"Dec 28, 2019","7,321.5","7,261.9","7,375.9","7,256.5","610.96K","0.82"
"Dec 27, 2019","7,261.7","7,210.8","7,293.8","7,128.5","718.07K","0.70"
"Dec 26, 2019","7,210.9","7,225.0","7,414.3","7,177.3","795.09K","-0.19"
"Dec 25, 2019","7,224.8","7,268.3","7,542.4","7,150.9","625.41K","-0.60"
"Dec 24, 2019","7,268.3","7,322.4","7,433.2","7,185.7","785.54K","-0.74"
"Dec 23, 2019","7,322.8","7,496.2","7,684.0","7,276.2","952.16K","-2.31"
"Dec 22, 2019","7,495.8","7,156.3","7,501.1","7,142.0","677.94K","4.74"
"Dec 21, 2019","7,156.2","7,196.4","7,197.6","7,129.6","468.74K","-0.56"
"Dec 20, 2019","7,196.4","7,165.5","7,218.4","7,107.7","627.04K","0.43"
"Dec 19, 2019","7,165.5","7,276.4","7,354.0","7,039.3","778.72K","-1.52"
"Dec 18, 2019","7,276.0","6,613.5","7,387.7","6,462.2","1.14M","10.02"
"Dec 17, 2019","6,613.3","6,903.5","6,943.5","6,575.0","894.55K","-4.20"
"Dec 16, 2019","6,903.5","7,128.5","7,153.1","6,864.6","689.56K","-3.16"
"Dec 15, 2019","7,128.5","7,080.8","7,175.8","7,033.8","492.58K","0.67"
"Dec 14, 2019","7,080.8","7,255.2","7,267.4","7,043.3","524.56K","-2.40"
"Dec 13, 2019","7,255.2","7,208.4","7,288.0","7,200.3","503.49K","0.65"
"Dec 12, 2019","7,208.0","7,208.0","7,272.4","7,124.6","611.80K","0.00"
"Dec 11, 2019","7,208.0","7,235.8","7,284.4","7,168.8","518.40K","-0.38"
"Dec 10, 2019","7,235.7","7,356.2","7,400.3","7,192.1","609.50K","-1.63"
"Dec 09, 2019","7,355.8","7,524.8","7,626.0","7,321.6","648.66K","-2.24"
"Dec 08, 2019","7,524.4","7,510.8","7,576.4","7,416.7","499.04K","0.18"
"Dec 07, 2019","7,510.9","7,530.4","7,595.7","7,489.6","557.14K","-0.26"
"Dec 06, 2019","7,530.8","7,399.2","7,552.1","7,329.8","706.10K","1.78"
"Dec 05, 2019","7,399.2","7,204.6","7,476.3","7,184.0","780.78K","2.70"
"Dec 04, 2019","7,204.4","7,291.9","7,702.2","7,113.6","971.75K","-1.20"
"Dec 03, 2019","7,291.8","7,298.1","7,389.4","7,227.1","548.77K","-0.09"
"Dec 02, 2019","7,298.2","7,395.9","7,433.8","7,173.6","687.78K","-1.33"
"Dec 01, 2019","7,396.4","7,546.5","7,546.5","7,244.4","777.00K","-1.99"
"Nov 30, 2019","7,546.6","7,742.7","7,787.7","7,472.7","650.60K","-2.53"
"Nov 29, 2019","7,742.7","7,426.6","7,825.3","7,412.3","766.71K","4.26"
"Nov 28, 2019","7,426.7","7,510.6","7,639.5","7,380.6","737.58K","-1.12"
"Nov 27, 2019","7,510.6","7,162.8","7,636.9","6,875.4","996.49K","4.86"
"Nov 26, 2019","7,162.8","7,115.5","7,329.5","7,045.1","844.27K","0.66"
"Nov 25, 2019","7,115.6","6,924.7","7,352.8","6,534.8","1.29M","2.76"
"Nov 24, 2019","6,924.7","7,325.0","7,344.1","6,894.9","904.50K","-5.45"
"Nov 23, 2019","7,324.1","7,271.6","7,342.5","7,093.7","783.18K","0.71"
"Nov 22, 2019","7,272.5","7,627.9","7,700.9","6,818.5","1.41M","-4.66"
"Nov 21, 2019","7,627.9","8,099.4","8,129.6","7,519.7","891.50K","-5.82"
"Nov 20, 2019","8,099.3","8,145.7","8,223.0","8,074.2","607.27K","-0.57"
"Nov 19, 2019","8,145.7","8,207.7","8,245.6","8,032.8","654.27K","-0.76"
"Nov 18, 2019","8,208.4","8,510.3","8,516.3","8,110.4","692.60K","-3.54"
"Nov 17, 2019","8,509.8","8,497.4","8,631.7","8,413.0","531.22K","0.15"
"Nov 16, 2019","8,497.3","8,476.2","8,532.8","8,450.7","471.16K","0.25"
"Nov 15, 2019","8,476.3","8,660.8","8,761.8","8,437.1","653.71K","-2.13"
"Nov 14, 2019","8,661.2","8,782.9","8,799.8","8,615.8","515.43K","-1.39"
"Nov 13, 2019","8,783.1","8,813.2","8,829.7","8,721.1","454.33K","-0.33"
"Nov 12, 2019","8,812.6","8,737.4","8,841.2","8,615.7","575.16K","0.87"
"Nov 11, 2019","8,736.9","9,036.9","9,066.4","8,649.4","601.16K","-3.32"
"Nov 10, 2019","9,036.8","8,804.7","9,092.9","8,763.5","581.57K","2.64"
"Nov 09, 2019","8,804.5","8,778.1","8,877.5","8,746.9","512.02K","0.30"
"Nov 08, 2019","8,778.2","9,223.6","9,254.8","8,722.4","791.79K","-4.83"
"Nov 07, 2019","9,223.5","9,339.2","9,367.0","9,130.0","603.54K","-1.24"
"Nov 06, 2019","9,338.9","9,311.2","9,424.6","9,262.7","578.03K","0.30"
"Nov 05, 2019","9,310.8","9,396.1","9,452.7","9,193.9","653.42K","-0.91"
"Nov 04, 2019","9,396.4","9,198.7","9,500.4","9,134.1","681.01K","2.15"
"Nov 03, 2019","9,198.3","9,300.5","9,359.1","9,095.0","536.56K","-1.10"
"Nov 02, 2019","9,300.6","9,230.3","9,356.7","9,201.2","570.74K","0.76"
"Nov 01, 2019","9,230.1","9,153.1","9,270.4","9,057.2","689.65K","0.85"
"Oct 31, 2019","9,152.6","9,157.9","9,378.9","8,959.6","798.93K","-0.06"
"Oct 30, 2019","9,157.9","9,411.3","9,411.3","9,018.4","789.73K","-2.69"
"Oct 29, 2019","9,411.3","9,206.5","9,531.3","9,125.3","918.48K","2.22"
"Oct 28, 2019","9,207.2","9,530.1","9,866.9","9,202.5","1.04M","-3.38"
"Oct 27, 2019","9,529.6","9,230.6","9,773.2","9,081.0","1.16M","3.24"
"Oct 26, 2019","9,230.6","8,658.4","10,540.0","8,061.8","1.78M","6.61"
"Oct 25, 2019","8,658.3","7,422.8","8,697.7","7,404.9","1.18M","16.65"
"Oct 24, 2019","7,422.7","7,476.8","7,501.5","7,366.3","586.49K","-0.73"
"Oct 23, 2019","7,477.0","8,031.0","8,055.0","7,329.2","892.08K","-6.90"
"Oct 22, 2019","8,031.4","8,207.4","8,289.1","8,017.7","570.39K","-2.15"
"Oct 21, 2019","8,208.2","8,224.1","8,315.3","8,155.7","489.40K","-0.18"
"Oct 20, 2019","8,223.4","7,957.4","8,288.5","7,889.6","513.91K","3.34"
