"Date","Price","Open","High","Low","Vol.","Change"
"Dec 31, 2016","963.4","959.0","965.5","942.4","27.56K","0.45"
"Dec 30, 2016","959.0","971.1","971.6","927.4","70.84K","-1.24"
"Dec 29, 2016","971.1","972.2","982.6","949.2","61.13K","-0.11"
"Dec 28, 2016","972.2","925.8","974.5","925.5","77.29K","5.01"
"Dec 27, 2016","925.8","898.4","937.9","893.4","49.69K","3.05"
"Dec 26, 2016","898.4","891.1","909.3","885.9","38.79K","0.82"
"Dec 25, 2016","891.1","891.1","895.2","851.4","42.48K","0.00"
"Dec 24, 2016","891.1","917.2","920.5","880.8","46.03K","-2.85"
"Dec 23, 2016","917.2","860.2","920.3","858.0","102.22K","6.63"
"Dec 22, 2016","860.2","829.2","874.7","828.9","70.56K","3.73"
"Dec 21, 2016","829.2","799.1","833.1","796.0","65.29K","3.77"
"Dec 20, 2016","799.1","789.8","800.0","787.1","34.48K","1.18"
"Dec 19, 2016","789.8","789.0","793.7","786.3","25.46K","0.10"
"Dec 18, 2016","789.0","787.2","791.3","783.8","14.53K","0.23"
"Dec 17, 2016","787.2","782.0","791.6","779.4","23.58K","0.65"
"Dec 16, 2016","782.0","775.2","783.9","773.3","27.61K","0.88"
"Dec 15, 2016","775.2","776.5","780.3","773.1","26.22K","-0.17"
"Dec 14, 2016","776.5","778.7","780.8","771.0","24.78K","-0.29"
"Dec 13, 2016","778.7","778.5","790.3","767.8","33.11K","0.03"
"Dec 12, 2016","778.5","767.9","781.3","767.9","28.76K","1.38"
"Dec 11, 2016","767.9","774.0","774.2","763.0","17.14K","-0.79"
"Dec 10, 2016","774.0","770.5","777.0","769.2","18.02K","0.46"
"Dec 09, 2016","770.5","768.5","773.5","765.0","24.18K","0.26"
"Dec 08, 2016","768.5","765.6","773.4","761.2","28.78K","0.38"
"Dec 07, 2016","765.6","758.2","769.0","754.3","34.87K","0.97"
"Dec 06, 2016","758.2","754.3","762.5","750.9","33.43K","0.51"
"Dec 05, 2016","754.3","766.4","769.2","746.0","51.17K","-1.57"
"Dec 04, 2016","766.4","764.2","769.2","758.8","19.16K","0.28"
"Dec 03, 2016","764.2","770.9","772.3","755.8","38.45K","-0.87"
"Dec 02, 2016","770.9","752.6","779.0","752.3","63.22K","2.43"
"Dec 01, 2016","752.6","742.5","755.5","741.1","54.03K","1.37"
"Nov 30, 2016","742.5","732.6","745.4","730.6","39.28K","1.36"
"Nov 29, 2016","732.6","733.3","737.0","727.8","32.57K","-0.10"
"Nov 28, 2016","733.3","729.4","738.1","727.7","34.12K","0.53"
"Nov 27, 2016","729.4","734.1","738.3","727.1","21.35K","-0.64"
"Nov 26, 2016","734.1","740.4","741.0","725.6","22.58K","-0.84"
"Nov 25, 2016","740.4","735.3","741.3","729.0","28.85K","0.69"
"Nov 24, 2016","735.3","741.1","744.2","726.2","37.24K","-0.78"
"Nov 23, 2016","741.1","749.3","750.9","731.3","37.87K","-1.10"
"Nov 22, 2016","749.3","736.2","754.0","730.6","44.44K","1.79"
"Nov 21, 2016","736.2","728.5","744.3","726.5","32.51K","1.05"
"Nov 20, 2016","728.5","747.9","752.3","712.8","47.42K","-2.59"
"Nov 19, 2016","747.9","747.0","755.3","737.4","25.63K","0.12"
"Nov 18, 2016","747.0","737.5","751.4","731.0","39.71K","1.28"
"Nov 17, 2016","737.5","740.3","751.9","730.1","62.77K","-0.37"
"Nov 16, 2016","740.3","711.1","746.0","708.1","79.57K","4.10"
"Nov 15, 2016","711.1","704.6","716.9","697.9","41.40K","0.93"
"Nov 14, 2016","704.6","702.0","708.0","696.1","37.75K","0.37"
"Nov 13, 2016","702.0","704.3","705.6","685.0","36.14K","-0.33"
"Nov 12, 2016","704.3","715.0","717.4","701.1","27.60K","-1.50"
"Nov 11, 2016","715.0","714.6","719.8","711.7","25.58K","0.06"
"Nov 10, 2016","714.6","721.4","723.0","707.3","33.33K","-0.95"
"Nov 09, 2016","721.4","710.9","741.2","707.1","70.70K","1.48"
"Nov 08, 2016","710.9","705.4","714.6","701.0","39.73K","0.78"
"Nov 07, 2016","705.4","709.9","711.7","698.3","30.74K","-0.64"
"Nov 06, 2016","709.9","702.1","714.1","697.6","25.81K","1.11"
"Nov 05, 2016","702.1","702.1","706.4","694.0","22.02K","0.00"
"Nov 04, 2016","702.1","684.9","706.6","681.3","48.24K","2.51"
"Nov 03, 2016","684.9","733.5","744.4","670.4","96.41K","-6.63"
"Nov 02, 2016","733.5","726.8","735.8","718.1","39.04K","0.93"
"Nov 01, 2016","726.8","698.7","734.4","695.2","68.07K","4.02"
"Oct 31, 2016","698.7","697.3","707.2","682.2","38.05K","0.20"
"Oct 30, 2016","697.3","715.0","714.9","689.5","39.33K","-2.47"
"Oct 29, 2016","715.0","686.2","720.2","685.2","54.03K","4.18"
"Oct 28, 2016","686.2","682.3","688.4","678.6","38.97K","0.58"
"Oct 27, 2016","682.3","674.7","687.9","672.3","46.56K","1.13"
"Oct 26, 2016","674.7","651.0","678.4","651.4","47.67K","3.64"
"Oct 25, 2016","651.0","650.5","662.5","647.7","36.74K","0.08"
"Oct 24, 2016","650.5","653.0","654.3","645.7","33.24K","-0.39"
"Oct 23, 2016","653.0","655.5","661.2","648.8","21.91K","-0.37"
"Oct 22, 2016","655.5","630.5","659.9","629.7","37.10K","3.97"
"Oct 21, 2016","630.5","628.3","633.3","627.6","28.09K","0.34"
"Oct 20, 2016","628.3","629.1","630.8","625.5","20.94K","-0.11"
"Oct 19, 2016","629.1","635.3","637.3","624.1","35.29K","-0.99"
"Oct 18, 2016","635.3","637.4","639.3","632.2","24.60K","-0.32"
"Oct 17, 2016","637.4","640.1","641.3","634.9","27.69K","-0.43"
"Oct 16, 2016","640.1","637.0","642.2","636.4","12.89K","0.49"
"Oct 15, 2016","637.0","637.9","641.4","635.1","12.38K","-0.14"
"Oct 14, 2016","637.9","635.6","640.5","630.7","31.42K","0.37"
"Oct 13, 2016","635.6","636.0","639.5","632.3","25.62K","-0.06"
"Oct 12, 2016","636.0","640.5","642.5","632.2","26.95K","-0.70"
"Oct 11, 2016","640.5","617.3","642.3","615.6","55.77K","3.75"
"Oct 10, 2016","617.3","615.8","618.8","612.8","25.23K","0.25"
"Oct 09, 2016","615.8","617.7","618.3","613.0","13.43K","-0.30"
"Oct 08, 2016","617.7","616.0","619.6","614.9","13.62K","0.26"
"Oct 07, 2016","616.0","611.0","619.4","609.1","32.73K","0.83"
"Oct 06, 2016","611.0","611.8","612.7","608.5","21.63K","-0.14"
"Oct 05, 2016","611.8","609.0","613.7","608.0","23.40K","0.47"
"Oct 04, 2016","609.0","611.6","612.7","606.5","24.99K","-0.43"
"Oct 03, 2016","611.6","610.7","613.2","608.5","21.95K","0.15"
"Oct 02, 2016","610.7","613.4","614.2","607.7","16.54K","-0.44"
"Oct 01, 2016","613.4","608.1","615.0","607.1","16.93K","0.87"
"Sep 30, 2016","608.1","604.7","608.8","602.3","23.95K","0.57"
"Sep 29, 2016","604.7","604.7","607.2","602.0","25.32K","0.00"
"Sep 28, 2016","604.7","605.5","606.9","602.6","18.94K","-0.13"
"Sep 27, 2016","605.5","606.5","609.0","601.7","25.55K","-0.18"
"Sep 26, 2016","606.5","601.5","608.5","598.2","27.51K","0.84"
"Sep 25, 2016","601.5","602.6","604.9","598.3","13.28K","-0.18"
"Sep 24, 2016","602.6","602.9","605.9","600.5","13.47K","-0.05"
"Sep 23, 2016","602.9","595.6","603.7","594.1","25.92K","1.22"
"Sep 22, 2016","595.6","597.2","599.8","592.8","22.44K","-0.26"
"Sep 21, 2016","597.2","609.2","608.8","591.7","36.86K","-1.98"
"Sep 20, 2016","609.2","609.8","611.3","605.9","22.61K","-0.10"
"Sep 19, 2016","609.8","610.7","612.4","607.0","21.24K","-0.14"
"Sep 18, 2016","610.7","607.1","612.4","605.2","16.33K","0.60"
"Sep 17, 2016","607.1","607.8","609.6","604.5","15.89K","-0.12"
"Sep 16, 2016","607.8","608.1","610.4","605.2","21.85K","-0.05"
"Sep 15, 2016","608.1","609.5","610.7","605.1","22.69K","-0.23"
"Sep 14, 2016","609.5","608.6","612.2","606.4","24.24K","0.15"
"Sep 13, 2016","608.6","608.0","612.0","604.9","27.52K","0.10"
"Sep 12, 2016","608.0","605.6","610.6","603.0","27.95K","0.39"
"Sep 11, 2016","605.6","624.5","630.8","592.8","36.54K","-3.03"
"Sep 10, 2016","624.5","623.2","627.5","621.1","15.28K","0.22"
"Sep 09, 2016","623.2","625.6","627.6","617.3","28.33K","-0.39"
"Sep 08, 2016","625.6","613.2","629.3","611.3","36.33K","2.02"
"Sep 07, 2016","613.2","610.4","616.5","606.2","30.03K","0.45"
"Sep 06, 2016","610.4","605.8","612.0","603.5","24.33K","0.77"
"Sep 05, 2016","605.8","609.5","610.6","598.8","25.29K","-0.62"
"Sep 04, 2016","609.5","598.8","615.2","590.8","30.69K","1.79"
"Sep 03, 2016","598.8","575.3","605.0","572.6","35.70K","4.09"
"Sep 02, 2016","575.3","572.0","577.6","569.3","26.61K","0.58"
"Sep 01, 2016","572.0","573.9","705.0","569.4","25.87K","-0.33"
"Aug 31, 2016","573.9","577.3","578.3","571.7","24.93K","-0.60"
"Aug 30, 2016","577.3","574.2","579.9","572.5","27.48K","0.54"
"Aug 29, 2016","574.2","575.0","578.6","571.4","23.86K","-0.13"
"Aug 28, 2016","575.0","570.3","576.3","569.2","12.83K","0.81"
"Aug 27, 2016","570.3","579.4","580.4","567.3","18.69K","-1.56"
"Aug 26, 2016","579.4","578.0","582.7","575.8","21.17K","0.24"
"Aug 25, 2016","578.0","579.7","580.7","570.8","32.73K","-0.29"
"Aug 24, 2016","579.7","583.6","584.5","576.8","28.06K","-0.67"
"Aug 23, 2016","583.6","587.5","589.9","578.6","32.08K","-0.67"
"Aug 22, 2016","587.5","580.7","591.9","577.1","33.56K","1.17"
"Aug 21, 2016","580.7","582.6","585.3","577.8","14.16K","-0.33"
"Aug 20, 2016","582.6","574.6","583.5","572.3","23.12K","1.40"
"Aug 19, 2016","574.6","573.4","577.9","566.3","25.53K","0.20"
"Aug 18, 2016","573.4","572.3","579.5","570.8","30.39K","0.18"
"Aug 17, 2016","572.3","580.2","581.1","568.7","32.76K","-1.35"
"Aug 16, 2016","580.2","567.0","583.4","563.4","37.69K","2.34"
"Aug 15, 2016","567.0","569.1","575.0","559.3","33.77K","-0.37"
"Aug 14, 2016","569.1","584.6","585.8","559.9","33.07K","-2.66"
"Aug 13, 2016","584.6","587.1","590.1","582.8","19.30K","-0.43"
"Aug 12, 2016","587.1","587.8","591.1","582.2","25.50K","-0.12"
"Aug 11, 2016","587.8","590.9","599.2","585.4","39.83K","-0.52"
"Aug 10, 2016","590.9","585.3","600.5","580.9","49.57K","0.97"
"Aug 09, 2016","585.3","589.2","591.2","581.1","25.97K","-0.68"
"Aug 08, 2016","589.2","590.8","594.2","585.4","24.88K","-0.27"
"Aug 07, 2016","590.8","586.5","596.0","580.9","26.20K","0.75"
"Aug 06, 2016","586.5","574.7","596.7","565.3","25.38K","2.05"
"Aug 05, 2016","574.7","576.2","580.0","565.8","27.89K","-0.27"
"Aug 04, 2016","576.2","566.4","584.9","559.5","44.82K","1.73"
"Aug 03, 2016","566.4","513.4","573.1","514.1","85.93K","10.32"
"Aug 02, 2016","513.4","607.0","613.8","471.4","130.91K","-15.42"
"Aug 01, 2016","607.0","621.9","627.9","603.5","66.66K","-2.39"
"Jul 31, 2016","621.9","654.7","654.9","621.4","62.89K","-5.02"
"Jul 30, 2016","654.7","655.4","657.5","652.1","19.35K","-0.11"
"Jul 29, 2016","655.4","654.1","657.4","651.0","27.04K","0.20"
"Jul 28, 2016","654.1","654.5","658.0","650.8","28.11K","-0.06"
"Jul 27, 2016","654.5","654.4","659.1","646.0","29.89K","0.02"
"Jul 26, 2016","654.4","654.0","657.8","643.5","49.39K","0.06"
"Jul 25, 2016","654.0","659.3","662.5","651.1","34.38K","-0.80"
"Jul 24, 2016","659.3","655.2","664.2","651.0","29.82K","0.63"
"Jul 23, 2016","655.2","651.1","658.2","648.0","29.89K","0.62"
"Jul 22, 2016","651.1","664.6","669.4","645.7","65.90K","-2.03"
"Jul 21, 2016","664.6","664.4","666.5","657.8","32.17K","0.03"
"Jul 20, 2016","664.4","671.1","672.3","659.5","37.56K","-1.00"
"Jul 19, 2016","671.1","670.4","673.2","663.6","30.40K","0.11"
"Jul 18, 2016","670.4","676.3","680.4","664.6","42.58K","-0.88"
"Jul 17, 2016","676.3","660.7","680.9","660.1","46.84K","2.37"
"Jul 16, 2016","660.7","664.2","665.4","655.7","20.39K","-0.53"
"Jul 15, 2016","664.2","657.3","667.5","656.5","35.83K","1.06"
"Jul 14, 2016","657.3","661.2","661.9","646.3","48.20K","-0.59"
"Jul 13, 2016","661.2","670.6","672.0","656.0","62.96K","-1.40"
"Jul 12, 2016","670.6","646.7","673.2","644.6","66.59K","3.69"
