"Date","Price","Open","High","Low","Vol.","Change"
"Dec 31, 2013","805.9","804.8","813.9","777.0","9.17K","0.14"
"Dec 30, 2013","804.8","785.0","818.8","781.0","10.48K","2.53"
"Dec 29, 2013","785.0","762.0","804.0","735.0","7.04K","3.01"
"Dec 28, 2013","762.0","803.0","806.0","715.6","13.34K","-5.11"
"Dec 27, 2013","803.0","802.0","836.8","767.9","13.89K","0.13"
"Dec 26, 2013","802.0","707.3","829.6","707.2","23.53K","13.39"
"Dec 25, 2013","707.3","702.8","710.0","673.9","5.34K","0.64"
"Dec 24, 2013","702.8","713.2","729.9","666.0","10.95K","-1.47"
"Dec 23, 2013","713.2","639.5","724.9","631.0","15.07K","11.53"
"Dec 22, 2013","639.5","640.5","699.9","615.0","11.63K","-0.15"
"Dec 21, 2013","640.5","650.0","690.0","610.0","14.73K","-1.46"
"Dec 20, 2013","650.0","732.0","774.4","621.3","34.77K","-11.20"
"Dec 19, 2013","732.0","541.0","746.0","522.4","45.76K","35.30"
"Dec 18, 2013","541.0","715.0","717.0","454.9","110.50K","-24.34"
"Dec 17, 2013","715.0","759.9","780.0","678.9","31.71K","-5.92"
"Dec 16, 2013","759.9","919.9","924.9","714.0","41.33K","-17.39"
"Dec 15, 2013","919.9","908.9","927.9","838.0","15.17K","1.20"
"Dec 14, 2013","908.9","936.8","947.9","875.1","11.59K","-2.97"
"Dec 13, 2013","936.8","900.0","989.9","882.1","17.37K","4.09"
"Dec 12, 2013","900.0","919.9","941.0","839.5","9.91K","-2.17"
"Dec 11, 2013","919.9","1,033.7","1,056.8","856.1","24.36K","-11.01"
"Dec 10, 2013","1,033.7","919.0","1,067.7","912.0","22.10K","12.49"
"Dec 09, 2013","919.0","804.0","980.0","787.7","27.63K","14.30"
"Dec 08, 2013","804.0","697.0","829.0","653.0","31.21K","15.34"
"Dec 07, 2013","697.0","845.0","896.0","576.0","97.66K","-17.51"
"Dec 06, 2013","845.0","1,106.3","1,118.9","800.1","53.52K","-23.62"
"Dec 05, 2013","1,106.3","1,237.6","1,239.9","870.0","58.44K","-10.60"
"Dec 04, 2013","1,237.6","1,154.9","1,239.7","1,131.3","16.30K","7.16"
"Dec 03, 2013","1,154.9","1,096.6","1,185.6","1,064.9","19.34K","5.32"
"Dec 02, 2013","1,096.6","1,004.4","1,117.7","975.0","37.05K","9.18"
"Dec 01, 2013","1,004.4","1,205.7","1,216.8","840.3","79.92K","-16.69"
"Nov 30, 2013","1,205.7","1,206.9","1,232.9","1,150.2","15.10K","-0.11"
"Nov 29, 2013","1,206.9","1,101.4","1,241.9","1,050.0","38.71K","9.58"
"Nov 28, 2013","1,101.4","1,079.9","1,224.5","1,032.1","37.40K","1.99"
"Nov 27, 2013","1,079.9","970.0","1,094.8","914.3","37.86K","11.33"
"Nov 26, 2013","970.0","830.0","975.0","825.1","31.61K","16.86"
"Nov 25, 2013","830.0","795.0","850.0","759.0","26.38K","4.40"
"Nov 24, 2013","795.0","832.5","855.0","745.2","25.95K","-4.50"
"Nov 23, 2013","832.5","802.0","890.0","799.5","21.31K","3.80"
"Nov 22, 2013","802.0","764.9","822.0","682.3","30.15K","4.85"
"Nov 21, 2013","764.9","638.0","784.3","595.2","38.73K","19.90"
"Nov 20, 2013","638.0","645.7","650.0","453.3","91.59K","-1.20"
"Nov 19, 2013","645.7","785.4","900.9","502.6","99.10K","-17.79"
"Nov 18, 2013","785.4","528.3","787.9","522.0","72.07K","48.67"
"Nov 17, 2013","528.3","462.0","536.8","457.0","26.72K","14.36"
"Nov 16, 2013","462.0","433.9","476.9","428.0","19.14K","6.46"
"Nov 15, 2013","433.9","433.4","457.9","413.0","28.13K","0.12"
"Nov 14, 2013","433.4","434.9","447.5","402.5","31.41K","-0.33"
"Nov 13, 2013","434.9","380.0","445.0","372.2","36.02K","14.42"
"Nov 12, 2013","380.0","363.0","391.8","359.0","22.03K","4.70"
"Nov 11, 2013","363.0","336.3","376.0","321.4","18.00K","7.93"
"Nov 10, 2013","336.3","367.8","372.5","290.0","74.25K","-8.56"
"Nov 09, 2013","367.8","355.0","395.0","340.0","49.91K","3.60"
"Nov 08, 2013","355.0","309.6","358.0","308.0","44.63K","14.65"
"Nov 07, 2013","309.6","264.1","324.2","263.6","86.13K","17.25"
"Nov 06, 2013","264.1","251.3","272.5","251.4","38.82K","5.09"
"Nov 05, 2013","251.3","238.2","258.9","229.0","45.10K","5.52"
"Nov 04, 2013","238.2","224.0","239.0","221.9","18.06K","6.32"
