"Date","Price","Open","High","Low","Vol.","Change"
"Dec 31, 2014","318.2","311.3","319.1","308.9","20.50K","2.24"
"Dec 30, 2014","311.3","314.1","316.2","309.3","22.78K","-0.91"
"Dec 29, 2014","314.1","316.5","321.6","308.3","20.36K","-0.76"
"Dec 28, 2014","316.5","315.3","322.8","310.5","20.41K","0.38"
"Dec 27, 2014","315.3","330.0","330.7","312.0","21.63K","-4.44"
"Dec 26, 2014","330.0","319.0","332.9","316.4","23.01K","3.45"
"Dec 25, 2014","319.0","322.4","323.4","316.3","15.39K","-1.06"
"Dec 24, 2014","322.4","335.3","336.3","320.6","21.52K","-3.83"
"Dec 23, 2014","335.3","330.8","339.3","328.0","24.07K","1.33"
"Dec 22, 2014","330.8","322.6","335.3","319.9","35.36K","2.54"
"Dec 21, 2014","322.6","330.4","332.0","320.1","20.67K","-2.34"
"Dec 20, 2014","330.4","317.8","332.6","316.0","29.92K","3.96"
"Dec 19, 2014","317.8","310.3","320.2","306.4","41.71K","2.40"
"Dec 18, 2014","310.3","320.0","325.6","303.4","60.52K","-3.02"
"Dec 17, 2014","320.0","330.2","335.7","314.3","61.34K","-3.09"
"Dec 16, 2014","330.2","345.4","346.5","328.9","38.59K","-4.39"
"Dec 15, 2014","345.4","349.4","351.2","343.6","22.16K","-1.14"
"Dec 14, 2014","349.4","348.2","351.6","344.6","12.34K","0.32"
"Dec 13, 2014","348.2","353.4","353.1","343.8","19.54K","-1.46"
"Dec 12, 2014","353.4","347.7","356.4","346.0","26.85K","1.65"
"Dec 11, 2014","347.7","347.9","367.1","337.8","51.08K","-0.07"
"Dec 10, 2014","347.9","352.2","354.1","345.1","27.13K","-1.21"
"Dec 09, 2014","352.2","365.0","365.4","343.8","43.83K","-3.50"
"Dec 08, 2014","365.0","376.5","377.4","364.6","22.92K","-3.06"
"Dec 07, 2014","376.5","376.3","377.9","372.5","8.81K","0.06"
"Dec 06, 2014","376.3","377.6","380.3","372.0","11.07K","-0.36"
"Dec 05, 2014","377.6","369.8","379.7","366.4","29.99K","2.11"
"Dec 04, 2014","369.8","377.0","380.4","366.2","25.33K","-1.89"
"Dec 03, 2014","377.0","380.6","384.7","373.6","23.51K","-0.97"
"Dec 02, 2014","380.6","378.6","384.9","375.4","25.29K","0.54"
